LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_112718711876500690091<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.812155,406467072
conv_1,Conv,ADD_TENSOR10553138141124997578,0.048649,406467072
relu_1,Relu,ACTIVATION_FWD902479011617325688<CUDNN_ACTIVATION_RELU>,0.052530,1679616
maxpool_1,Pooling,POOLING_FWD7200271266487241381<CUDNN_POOLING_MAX>,0.077524,1259712
conv2_2,Conv,CONV_FWD_210096485769234822766<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,1.232656,895795200
conv2_2,Conv,ADD_TENSOR5752098482467034152,0.032422,895795200
relu_2,Relu,ACTIVATION_FWD9012016737246248572<CUDNN_ACTIVATION_RELU>,0.039817,1119744
maxpool_2,Pooling,POOLING_FWD13673481874362278226<CUDNN_POOLING_MAX_DETERMINISTIC>,0.059835,778752
conv_3,Conv,CONV_FWD_415371015762202434184<CUDNN_CONVOLUTION_FWD_ALGO_GEMM>,1.025901,598081536
conv_3,Conv,ADD_TENSOR17972986639058366108,0.020508,598081536
relu_3,Relu,ACTIVATION_FWD6974270367892786053<CUDNN_ACTIVATION_CLIPPED_RELU>,0.022482,389376
conv4_2,Conv,CONV_FWD_415572213778166138271<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.811686,448561152
conv4_2,Conv,ADD_TENSOR17972986639058366108,0.020508,448561152
relu_4,Relu,ACTIVATION_FWD6974270367892786053<CUDNN_ACTIVATION_CLIPPED_RELU>,0.022482,389376
conv5_2,Conv,CONV_FWD_43110247540086532615<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.624264,299040768
conv5_2,Conv,ADD_TENSOR15946456055616121460,0.017612,299040768
relu_5,Relu,ACTIVATION_FWD17432660807868853019<CUDNN_ACTIVATION_RELU>,0.019148,259584
maxpool_3,Pooling,POOLING_FWD3383448739713194914<CUDNN_POOLING_MAX_DETERMINISTIC>,0.024376,165888
gemm_1,Gemm,GEMV_FWD6934874432368006581,1.223733,75501568
relu_6,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_CLIPPED_RELU>,0.017772,12288
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.021748,4096
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.021748,4096
gemm_2,Gemm,GEMV_FWD14749961015086304009,0.553137,33558528
relu_7,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_CLIPPED_RELU>,0.017772,12288
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.021748,4096
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.021748,4096
gemm_3,Gemm,GEMV_FWD8744693108258840465,0.088097,1638600
,,Total,6.952058,5412673160
