LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv18_conv0_fwd,Conv,CONV_FWD3642770210531366104<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.117754,944111616
resnetv18_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE3626237089645801092<CUDNN_BATCHNORM_PER_A...,0.079473,6422528
resnetv18_relu0_fwd,Relu,ACTIVATION_FWD3219491477374306674<CUDNN_ACTIVATION_RELU>,0.042237,9633792
resnetv18_pool0_fwd,Pooling,POOLING_FWD14411550053955342132<CUDNN_POOLING_MAX>,0.037614,7225344
resnetv18_stage1_conv0_fwd,Conv,CONV_FWD5920119130740283876<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.032988,102760448
resnetv18_stage1_conv0_fwd,Conv,ADD_TENSOR871720720256839071,0.013712,102760448
resnetv18_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_...,0.025111,1605632
resnetv18_stage1_relu0_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.012787,2408448
resnetv18_stage1_conv1_fwd,Conv,CONV_FWD12566973362237786756<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.066322,924844032
resnetv18_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_...,0.025111,1605632
resnetv18_stage1_relu1_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.012787,2408448
resnetv18_stage1_conv2_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.064809,411041792
resnetv18_stage1_conv2_fwd,Conv,ADD_TENSOR2192693858897388026,0.030784,411041792
resnetv18_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12820041510308751684<CUDNN_BATCHNORM_PER_...,0.079568,6422528
resnetv18_stage1_conv3_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.064809,411041792
resnetv18_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12820041510308751684<CUDNN_BATCHNORM_PER_...,0.079568,6422528
resnetv18_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD18230516148037049581,0.059369,3211264
resnetv18_stage1_activation0,Relu,ACTIVATION_FWD12616547177222835890<CUDNN_ACTIVATION_RELU>,0.042241,9633792
resnetv18_stage1_conv4_fwd,Conv,CONV_FWD15801342301168635973<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.075909,411041792
resnetv18_stage1_conv4_fwd,Conv,ADD_TENSOR9617754218824197182,0.013733,411041792
resnetv18_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_...,0.025111,1605632
resnetv18_stage1_relu2_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.012787,2408448
resnetv18_stage1_conv5_fwd,Conv,CONV_FWD12566973362237786756<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.066322,924844032
resnetv18_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_...,0.025111,1605632
resnetv18_stage1_relu3_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.012787,2408448
resnetv18_stage1_conv6_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.064809,411041792
resnetv18_stage1_conv6_fwd,Conv,ADD_TENSOR2192693858897388026,0.030784,411041792
resnetv18_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12820041510308751684<CUDNN_BATCHNORM_PER_...,0.079568,6422528
resnetv18_stage1__plus1,ElementWise,OP_TENSOR_ADD_FWD18230516148037049581,0.059369,3211264
resnetv18_stage1_activation1,Relu,ACTIVATION_FWD12616547177222835890<CUDNN_ACTIVATION_RELU>,0.042241,9633792
resnetv18_stage1_conv7_fwd,Conv,CONV_FWD15801342301168635973<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT...,0.075909,411041792
resnetv18_stage1_conv7_fwd,Conv,ADD_TENSOR9617754218824197182,0.013733,411041792
resnetv18_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_...,0.025111,1605632
resnetv18_stage1_relu4_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.012787,2408448
resnetv18_stage1_conv8_fwd,Conv,CONV_FWD12566973362237786756<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.066322,924844032
resnetv18_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14397604007204480704<CUDNN_BATCHNORM_PER_...,0.025111,1605632
resnetv18_stage1_relu5_fwd,Relu,ACTIVATION_FWD15650437013877670198<CUDNN_ACTIVATION_RELU>,0.012787,2408448
resnetv18_stage1_conv9_fwd,Conv,CONV_FWD4638293002954413441<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.064809,411041792
resnetv18_stage1_conv9_fwd,Conv,ADD_TENSOR2192693858897388026,0.030784,411041792
resnetv18_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE12820041510308751684<CUDNN_BATCHNORM_PER_...,0.079568,6422528
