LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_21791293315135616840<CUDNN_CONVOLUTION_FWD_A...,0.812187,406467072
conv_1,Conv,ADD_TENSOR10350152999398804148,0.018175,406467072
relu_1,Relu,ACTIVATION_FWD902479011617325688<CUDNN_ACTIVATION_REL...,0.052718,1679616
maxpool_1,Pooling,POOLING_FWD7085528352975151772<CUDNN_POOLING_MAX>,0.071805,1168128
conv2_2,Conv,CONV_FWD_25952394613311581074<CUDNN_CONVOLUTION_FWD_A...,1.203151,830668800
conv2_2,Conv,ADD_TENSOR14259511094531724910,0.078437,830668800
relu_2,Relu,ACTIVATION_FWD3826760225477232124<CUDNN_ACTIVATION_CL...,0.041952,1038336
maxpool_2,Pooling,POOLING_FWD5342810934812353564<CUDNN_POOLING_MAX>,0.052555,663552
conv_3,Conv,CONV_FWD_16875997954837080238<CUDNN_CONVOLUTION_FWD_A...,0.802338,509607936
conv_3,Conv,ADD_TENSOR6939664352599471793,0.136028,509607936
relu_3,Relu,ACTIVATION_FWD16331172876239310523<CUDNN_ACTIVATION_C...,0.022028,331776
conv4_2,Conv,CONV_FWD_15919769766551664569<CUDNN_CONVOLUTION_FWD_A...,0.806026,382205952
conv4_2,Conv,ADD_TENSOR7855948446848068006,0.200855,382205952
relu_4,Relu,ACTIVATION_FWD16331172876239310523<CUDNN_ACTIVATION_C...,0.022028,331776
conv5_2,Conv,CONV_FWD_34798771595569121923<CUDNN_CONVOLUTION_FWD_A...,0.616547,254803968
conv5_2,Conv,ADD_TENSOR11400760446320608830,0.138483,254803968
relu_5,Relu,ACTIVATION_FWD8914396678609051737<CUDNN_ACTIVATION_RE...,0.020136,221184
maxpool_3,Pooling,POOLING_FWD16657804228006183202<CUDNN_POOLING_MAX>,0.022798,165888
gemm_1,Gemm,GEMV_FWD6934874432368006581,1.223561,75501568
relu_6,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_CL...,0.017915,12288
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.021460,4096
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.021460,4096
gemm_2,Gemm,GEMV_FWD14749961015086304009,0.553218,33558528
relu_7,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_CL...,0.017915,12288
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.021460,4096
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.021460,4096
gemm_3,Gemm,GEMV_FWD1899783961886106634,0.238105,8193000
softmax_1,Softmax,"SOFTMAX_FWD520896048550294790<CUDNN_SOFTMAX_FAST, CUD...",0.016744,3000
,,Total,7.271545,4890404768
