LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_29244211227929875319<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.186991,1625868288
conv_1,Conv,ADD_TENSOR13109352622567527379,0.024307,1625868288
relu_1,Relu,ACTIVATION_FWD7609905067163261305<CUDNN_ACTIVATION_CLIPPED_RELU>,0.031123,6718464
maxpool_1,Pooling,POOLING_FWD2052180749971331511<CUDNN_POOLING_MAX>,0.026809,5038848
conv2_2,Conv,CONV_FWD_21480583346412556881<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.506228,3583180800
conv2_2,Conv,ADD_TENSOR11174327719281008967,0.018605,3583180800
relu_2,Relu,ACTIVATION_FWD6408070176310310513<CUDNN_ACTIVATION_CLIPPED_RELU>,0.023637,4478976
maxpool_2,Pooling,POOLING_FWD14118752577306647161<CUDNN_POOLING_MAX>,0.022033,3115008
conv_3,Conv,CONV_FWD_211997465733301532146<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.199449,2392326144
conv_3,Conv,ADD_TENSOR12850748239303367319,0.011787,2392326144
relu_3,Relu,ACTIVATION_FWD15436549402196352744<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009531,1557504
conv4_2,Conv,CONV_FWD_17236162727259975374<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.156697,1794244608
conv4_2,Conv,ADD_TENSOR12850748239303367319,0.011787,1794244608
relu_4,Relu,ACTIVATION_FWD15436549402196352744<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009531,1557504
conv5_2,Conv,CONV_FWD_014353497674351423316<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.110574,1196163072
conv5_2,Conv,ADD_TENSOR4434626105408062023,0.010354,1196163072
relu_5,Relu,ACTIVATION_FWD747776054430575382<CUDNN_ACTIVATION_CLIPPED_RELU>,0.008970,1038336
maxpool_3,Pooling,POOLING_FWD5826102418969747593<CUDNN_POOLING_MAX>,0.008951,663552
gemm_1,Gemm,GEMV_FWD832365197582049582,0.179197,75501568
relu_6,Relu,ACTIVATION_FWD11304941407100423307<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007825,12288
dropout_1,Dropout,DROPOUT_FWD5176650979312860249,0.008581,4096
dropout_1,Dropout,DROPOUT_FWD5176650979312860249,0.008581,4096
gemm_2,Gemm,GEMV_FWD12906334387647651466,0.084693,33558528
relu_7,Relu,ACTIVATION_FWD11304941407100423307<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007825,12288
dropout_2,Dropout,DROPOUT_FWD5176650979312860249,0.008581,4096
dropout_2,Dropout,DROPOUT_FWD5176650979312860249,0.008581,4096
gemm_3,Gemm,GEMV_FWD17209584415969407497,0.037493,8193000
softmax_1,Softmax,"SOFTMAX_FWD9955186565751125701<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MOD...",0.006916,3000
,,Total,1.711558,21325031072
