LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_28838818339664887875<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.592553,6503473152
conv_1,Conv,ADD_TENSOR14646067107132314689,0.071864,6503473152
relu_1,Relu,ACTIVATION_FWD5252923620962492427<CUDNN_ACTIVATION_RELU>,0.102097,26873856
maxpool_1,Pooling,POOLING_FWD16115262484882341522<CUDNN_POOLING_MAX_DETERMINISTIC>,0.089847,18690048
conv2_2,Conv,CONV_FWD_23524382172586515609<CUDNN_CONVOLUTION_FWD_ALGO_FFT_TILING>,0.421316,13290700800
conv2_2,Conv,ADD_TENSOR6160866332472890242,0.047484,13290700800
relu_2,Relu,ACTIVATION_FWD15582660119638108863<CUDNN_ACTIVATION_RELU>,0.065769,16613376
maxpool_2,Pooling,POOLING_FWD17756870297604821035<CUDNN_POOLING_MAX>,0.056382,10616832
conv_3,Conv,CONV_FWD_44845183502287694919<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,0.838811,8153726976
conv_3,Conv,ADD_TENSOR14867897507731444599,0.020717,8153726976
relu_3,Relu,ACTIVATION_FWD5408840169225278676<CUDNN_ACTIVATION_CLIPPED_RELU>,0.026423,5308416
conv4_2,Conv,CONV_FWD_38013017518783844572<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.484237,6115295232
conv4_2,Conv,ADD_TENSOR14867897507731444599,0.020717,6115295232
relu_4,Relu,ACTIVATION_FWD5408840169225278676<CUDNN_ACTIVATION_CLIPPED_RELU>,0.026423,5308416
conv5_2,Conv,CONV_FWD_27727411817272609993<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.328504,4076863488
conv5_2,Conv,ADD_TENSOR3813189039649805178,0.016422,4076863488
relu_5,Relu,ACTIVATION_FWD13496233158421223130<CUDNN_ACTIVATION_RELU>,0.020122,3538944
maxpool_3,Pooling,POOLING_FWD6585390720603174165<CUDNN_POOLING_MAX_DETERMINISTIC>,0.012847,2654208
gemm_1,Gemm,GEMV_FWD11834086122963772656,0.179190,75501568
relu_6,Relu,ACTIVATION_FWD9601209836186449017<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007874,12288
dropout_1,Dropout,DROPOUT_FWD4066049182186887235,0.008589,4096
dropout_1,Dropout,DROPOUT_FWD4066049182186887235,0.008589,4096
gemm_2,Gemm,GEMV_FWD756348454562328960,0.084506,33558528
relu_7,Relu,ACTIVATION_FWD9601209836186449017<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007874,12288
dropout_2,Dropout,DROPOUT_FWD4066049182186887235,0.008589,4096
dropout_2,Dropout,DROPOUT_FWD4066049182186887235,0.008589,4096
gemm_3,Gemm,GEMV_FWD9123359289530762999,0.037401,8193000
softmax_1,Softmax,"SOFTMAX_FWD14810844336383846567<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MO...",0.006900,3000
,,Total,3.576558,76487020448
