LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
squeezenet0_relu0_fwd,Relu,ACTIVATION_FWD1247861087528842973<CUDNN_ACTIVATION_RE...,9.039566,1211203584
squeezenet0_relu1_fwd,Relu,ACTIVATION_FWD7204918006091337328<CUDNN_ACTIVATION_RE...,0.438641,74342400
squeezenet0_relu2_fwd,Relu,ACTIVATION_FWD16376841141055979907<CUDNN_ACTIVATION_R...,2.047811,297369600
squeezenet0_relu3_fwd,Relu,ACTIVATION_FWD16376841141055979907<CUDNN_ACTIVATION_R...,2.047811,297369600
squeezenet0_relu4_fwd,Relu,ACTIVATION_FWD7204918006091337328<CUDNN_ACTIVATION_RE...,0.438641,74342400
squeezenet0_relu5_fwd,Relu,ACTIVATION_FWD16376841141055979907<CUDNN_ACTIVATION_R...,2.047811,297369600
squeezenet0_relu6_fwd,Relu,ACTIVATION_FWD16376841141055979907<CUDNN_ACTIVATION_R...,2.047811,297369600
squeezenet0_conv7_fwd,Conv,CONV_FWD_08404705214404237657<CUDNN_CONVOLUTION_FWD_A...,0.468078,3057647616
squeezenet0_conv7_fwd,Conv,ADD_TENSOR8430263403054244410,0.100432,3057647616
squeezenet0_relu7_fwd,Relu,ACTIVATION_FWD2838113440309228212<CUDNN_ACTIVATION_RE...,0.188629,35831808
squeezenet0_relu8_fwd,Relu,ACTIVATION_FWD17540840956162975550<CUDNN_ACTIVATION_R...,0.908948,143327232
squeezenet0_relu9_fwd,Relu,ACTIVATION_FWD17540840956162975550<CUDNN_ACTIVATION_R...,0.908948,143327232
squeezenet0_conv10_fwd,Conv,CONV_FWD_011702793696880523705<CUDNN_CONVOLUTION_FWD_...,0.789399,6115295232
squeezenet0_conv10_fwd,Conv,ADD_TENSOR8430263403054244410,0.100432,6115295232
squeezenet0_relu10_fwd,Relu,ACTIVATION_FWD2838113440309228212<CUDNN_ACTIVATION_RE...,0.188629,35831808
squeezenet0_relu11_fwd,Relu,ACTIVATION_FWD17540840956162975550<CUDNN_ACTIVATION_R...,0.908948,143327232
squeezenet0_relu12_fwd,Relu,ACTIVATION_FWD17540840956162975550<CUDNN_ACTIVATION_R...,0.908948,143327232
squeezenet0_relu13_fwd,Relu,ACTIVATION_FWD11199738275615870437<CUDNN_ACTIVATION_C...,0.066532,12460032
squeezenet0_relu14_fwd,Relu,ACTIVATION_FWD14980884543922296996<CUDNN_ACTIVATION_R...,0.273081,49840128
squeezenet0_relu15_fwd,Relu,ACTIVATION_FWD14980884543922296996<CUDNN_ACTIVATION_R...,0.273081,49840128
squeezenet0_relu16_fwd,Relu,ACTIVATION_FWD11199738275615870437<CUDNN_ACTIVATION_C...,0.066532,12460032
squeezenet0_relu17_fwd,Relu,ACTIVATION_FWD14980884543922296996<CUDNN_ACTIVATION_R...,0.273081,49840128
squeezenet0_relu18_fwd,Relu,ACTIVATION_FWD14980884543922296996<CUDNN_ACTIVATION_R...,0.273081,49840128
squeezenet0_conv19_fwd,Conv,CONV_FWD_111739732755200731245<CUDNN_CONVOLUTION_FWD_...,0.397511,4253024256
squeezenet0_conv19_fwd,Conv,ADD_TENSOR5737772618722279390,0.051536,4253024256
squeezenet0_relu19_fwd,Relu,ACTIVATION_FWD7155627794593710534<CUDNN_ACTIVATION_CL...,0.086826,16613376
squeezenet0_conv20_fwd,Conv,CONV_FWD_01271430987554461443<CUDNN_CONVOLUTION_FWD_A...,0.394572,2835349504
squeezenet0_conv20_fwd,Conv,ADD_TENSOR1485850416266021152,0.200920,2835349504
squeezenet0_relu20_fwd,Relu,ACTIVATION_FWD15006453217995768378<CUDNN_ACTIVATION_R...,0.383682,66453504
squeezenet0_relu21_fwd,Relu,ACTIVATION_FWD15006453217995768378<CUDNN_ACTIVATION_R...,0.383682,66453504
squeezenet0_relu22_fwd,Relu,ACTIVATION_FWD7155627794593710534<CUDNN_ACTIVATION_CL...,0.086826,16613376
squeezenet0_conv23_fwd,Conv,CONV_FWD_01271430987554461443<CUDNN_CONVOLUTION_FWD_A...,0.394572,2835349504
squeezenet0_conv23_fwd,Conv,ADD_TENSOR1485850416266021152,0.200920,2835349504
squeezenet0_relu23_fwd,Relu,ACTIVATION_FWD15006453217995768378<CUDNN_ACTIVATION_R...,0.383682,66453504
squeezenet0_relu24_fwd,Relu,ACTIVATION_FWD15006453217995768378<CUDNN_ACTIVATION_R...,0.383682,66453504
squeezenet0_relu25_fwd,Relu,ACTIVATION_FWD8474423277777645081<CUDNN_ACTIVATION_RE...,1.754329,259584000
,,Total,20.926237,42170576896
