LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_relu0_fwd,Relu,ACTIVATION_FWD5023244626259102337<CUDNN_ACTIVATION_RE...,10.215585,2466250752
vgg0_relu1_fwd,Relu,ACTIVATION_FWD5023244626259102337<CUDNN_ACTIVATION_RE...,10.215585,2466250752
vgg0_relu2_fwd,Relu,ACTIVATION_FWD16251095923769485720<CUDNN_ACTIVATION_R...,4.885789,1233125376
vgg0_relu3_fwd,Relu,ACTIVATION_FWD16251095923769485720<CUDNN_ACTIVATION_R...,4.885789,1233125376
vgg0_relu4_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_REL...,2.341906,616562688
vgg0_relu5_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_REL...,2.341906,616562688
vgg0_relu6_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_REL...,2.341906,616562688
vgg0_relu7_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_R...,1.126297,308281344
vgg0_relu8_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_R...,1.126297,308281344
vgg0_relu9_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_R...,1.126297,308281344
vgg0_relu10_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.281365,77070336
vgg0_relu11_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.281365,77070336
vgg0_relu12_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.281365,77070336
vgg0_dense0_fwd,Gemm,GEMM_FWD12737362414765164640,0.111238,1074790400
vgg0_dense0_relu_fwd,Relu,ACTIVATION_FWD2792131396194449583<CUDNN_ACTIVATION_RE...,0.017932,3145728
vgg0_dense1_fwd,Gemm,GEMM_FWD7636077300514268566,0.764857,8590983168
vgg0_dense1_relu_fwd,Relu,ACTIVATION_FWD2792131396194449583<CUDNN_ACTIVATION_RE...,0.017932,3145728
vgg0_dense2_fwd,Gemm,GEMM_FWD15468435336046351357,0.248075,2097408000
,,Total,42.611485,22173968384
