LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv15_conv0_fwd,Conv,CONV_FWD_412066326178290195123<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,3.055099,7552892928
resnetv15_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2073880803156822324<CUDNN_BATCHNORM_SPATIAL>,0.910208,51380224
resnetv15_relu0_fwd,Relu,ACTIVATION_FWD16152383226638083292<CUDNN_ACTIVATION_RELU>,1.080360,77070336
resnetv15_pool0_fwd,Pooling,POOLING_FWD4356297312077627222<CUDNN_POOLING_MAX>,0.905589,57802752
resnetv15_stage1_conv0_fwd,Conv,CONV_FWD_44296240800378504431<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,1.676922,7398752256
resnetv15_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8171884721816851020<CUDNN_BATCHNORM_SPATIAL>,0.236234,12845056
resnetv15_stage1_relu0_fwd,Relu,ACTIVATION_FWD10198243811751264164<CUDNN_ACTIVATION_RELU>,0.247019,19267584
resnetv15_stage1_conv1_fwd,Conv,CONV_FWD_44296240800378504431<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,1.676922,7398752256
resnetv15_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8171884721816851020<CUDNN_BATCHNORM_SPATIAL>,0.236234,12845056
resnetv15_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD10827386051162767563,0.337052,6422528
resnetv15_stage1_activation0,Relu,ACTIVATION_FWD10198243811751264164<CUDNN_ACTIVATION_RELU>,0.247019,19267584
resnetv15_stage1_conv2_fwd,Conv,CONV_FWD_44296240800378504431<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,1.676922,7398752256
resnetv15_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8171884721816851020<CUDNN_BATCHNORM_SPATIAL>,0.236234,12845056
resnetv15_stage1_relu1_fwd,Relu,ACTIVATION_FWD10198243811751264164<CUDNN_ACTIVATION_RELU>,0.247019,19267584
resnetv15_stage1_conv3_fwd,Conv,CONV_FWD_44296240800378504431<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,1.676922,7398752256
resnetv15_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE8171884721816851020<CUDNN_BATCHNORM_SPATIAL>,0.236234,12845056
