LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
vgg0_relu0_fwd,Relu,ACTIVATION_FWD5023244626259102337<CUDNN_ACTIVATION_CL...,21.883244,2466250752
vgg0_relu1_fwd,Relu,ACTIVATION_FWD5023244626259102337<CUDNN_ACTIVATION_CL...,21.883244,2466250752
vgg0_relu2_fwd,Relu,ACTIVATION_FWD16251095923769485720<CUDNN_ACTIVATION_C...,10.500068,1233125376
vgg0_relu3_fwd,Relu,ACTIVATION_FWD16251095923769485720<CUDNN_ACTIVATION_C...,10.500068,1233125376
vgg0_relu4_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_CLI...,4.935528,616562688
vgg0_relu5_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_CLI...,4.935528,616562688
vgg0_relu6_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_CLI...,4.935528,616562688
vgg0_relu7_fwd,Relu,ACTIVATION_FWD470712234344992899<CUDNN_ACTIVATION_CLI...,4.935528,616562688
vgg0_relu8_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_C...,2.285715,308281344
vgg0_relu9_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_C...,2.285715,308281344
vgg0_relu10_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_C...,2.285715,308281344
vgg0_relu11_fwd,Relu,ACTIVATION_FWD14433999953897827071<CUDNN_ACTIVATION_C...,2.285715,308281344
vgg0_relu12_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.504606,77070336
vgg0_relu13_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.504606,77070336
vgg0_relu14_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.504606,77070336
vgg0_relu15_fwd,Relu,ACTIVATION_FWD13396326306784286887<CUDNN_ACTIVATION_R...,0.504606,77070336
vgg0_dense0_fwd,Gemm,GEMM_FWD12737362414765164640,0.196301,1074790400
vgg0_dense0_relu_fwd,Relu,ACTIVATION_FWD2792131396194449583<CUDNN_ACTIVATION_RE...,0.025237,3145728
vgg0_dense1_fwd,Gemm,GEMM_FWD7636077300514268566,1.438700,8590983168
vgg0_dense1_relu_fwd,Relu,ACTIVATION_FWD2792131396194449583<CUDNN_ACTIVATION_RE...,0.025237,3145728
vgg0_dense2_fwd,Gemm,GEMM_FWD15468435336046351357,0.310371,2097408000
,,Total,97.355495,23175882752
