LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv18_conv0_fwd,Conv,CONV_FWD_02868411548885454211<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GE...,4.909513,3776446464
resnetv18_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6081209650119699375<CUDNN_BATCHNORM_PER_ACTIV...,2.171910,25690112
resnetv18_relu0_fwd,Relu,ACTIVATION_FWD16878157747470553332<CUDNN_ACTIVATION_RELU>,0.839355,38535168
resnetv18_pool0_fwd,Pooling,POOLING_FWD4446155870566767054<CUDNN_POOLING_MAX_DETERMINISTIC>,0.955536,28901376
resnetv18_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.551658,6422528
resnetv18_stage1_relu0_fwd,Relu,ACTIVATION_FWD11486543007712856392<CUDNN_ACTIVATION_RELU>,0.221167,9633792
resnetv18_stage1_conv1_fwd,Conv,CONV_FWD_43833488584110607399<CUDNN_CONVOLUTION_FWD_ALGO_FFT_TILING>,3.772562,3699376128
resnetv18_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.551658,6422528
resnetv18_stage1_relu1_fwd,Relu,ACTIVATION_FWD11486543007712856392<CUDNN_ACTIVATION_RELU>,0.221167,9633792
resnetv18_stage1_conv2_fwd,Conv,CONV_FWD_3778259910450551014<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,1.802972,1644167168
resnetv18_stage1_conv2_fwd,Conv,ADD_TENSOR10733400694216335763,0.633670,1644167168
resnetv18_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,2.173403,25690112
resnetv18_stage1_conv3_fwd,Conv,CONV_FWD_3778259910450551014<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,1.802972,1644167168
resnetv18_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,2.173403,25690112
resnetv18_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,1.648946,12845056
resnetv18_stage1_activation0,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.839459,38535168
resnetv18_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.551658,6422528
resnetv18_stage1_relu2_fwd,Relu,ACTIVATION_FWD11486543007712856392<CUDNN_ACTIVATION_RELU>,0.221167,9633792
resnetv18_stage1_conv5_fwd,Conv,CONV_FWD_43833488584110607399<CUDNN_CONVOLUTION_FWD_ALGO_FFT_TILING>,3.772562,3699376128
resnetv18_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.551658,6422528
resnetv18_stage1_relu3_fwd,Relu,ACTIVATION_FWD11486543007712856392<CUDNN_ACTIVATION_RELU>,0.221167,9633792
resnetv18_stage1_conv6_fwd,Conv,CONV_FWD_3778259910450551014<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,1.802972,1644167168
resnetv18_stage1_conv6_fwd,Conv,ADD_TENSOR10733400694216335763,0.633670,1644167168
resnetv18_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,2.173403,25690112
resnetv18_stage1__plus1,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,1.648946,12845056
resnetv18_stage1_activation1,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.839459,38535168
resnetv18_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.551658,6422528
resnetv18_stage1_relu4_fwd,Relu,ACTIVATION_FWD11486543007712856392<CUDNN_ACTIVATION_RELU>,0.221167,9633792
resnetv18_stage1_conv8_fwd,Conv,CONV_FWD_43833488584110607399<CUDNN_CONVOLUTION_FWD_ALGO_FFT_TILING>,3.772562,3699376128
resnetv18_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.551658,6422528
resnetv18_stage1_relu5_fwd,Relu,ACTIVATION_FWD11486543007712856392<CUDNN_ACTIVATION_RELU>,0.221167,9633792
resnetv18_stage1_conv9_fwd,Conv,CONV_FWD_3778259910450551014<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,1.802972,1644167168
resnetv18_stage1_conv9_fwd,Conv,ADD_TENSOR10733400694216335763,0.633670,1644167168
resnetv18_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,2.173403,25690112
resnetv18_stage1__plus2,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,1.648946,12845056
resnetv18_stage1_activation2,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.839459,38535168
resnetv18_stage2_conv0_fwd,Conv,CONV_FWD_42178326143552985023<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.785724,822083584
resnetv18_stage2_conv0_fwd,Conv,ADD_TENSOR10785547884691915998,0.061162,822083584
resnetv18_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.283871,3211264
resnetv18_stage2_relu0_fwd,Relu,ACTIVATION_FWD9754545635934748815<CUDNN_ACTIVATION_RELU>,0.117779,4816896
resnetv18_stage2_conv1_fwd,Conv,CONV_FWD_4516499966040530743<CUDNN_CONVOLUTION_FWD_ALGO_FFT>,2.371684,3699376128
resnetv18_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.283871,3211264
resnetv18_stage2_relu1_fwd,Relu,ACTIVATION_FWD9754545635934748815<CUDNN_ACTIVATION_RELU>,0.117779,4816896
resnetv18_stage2_conv2_fwd,Conv,CONV_FWD_39706759815225369861<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,1.539312,1644167168
resnetv18_stage2_conv2_fwd,Conv,ADD_TENSOR18142553081786196800,0.217658,1644167168
resnetv18_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,1.085647,12845056
resnetv18_stage2_conv3_fwd,Conv,CONV_FWD_04339927135062420177<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,3.250891,3288334336
resnetv18_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,1.085647,12845056
resnetv18_stage2__plus0,ElementWise,OP_TENSOR_ADD_FWD663949675680151926,0.753387,6422528
