LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_412238578209860326011<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,1.565494,3776446464
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6081209650119699375<CUDNN_BATCHNORM_PER_ACTIV...,0.792863,25690112
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD13799100367117858965<CUDNN_ACTIVATION_RELU>,0.506767,38535168
resnetv17_pool0_fwd,Pooling,POOLING_FWD4446155870566767054<CUDNN_POOLING_MAX>,0.457800,28901376
resnetv17_stage1_conv0_fwd,Conv,CONV_FWD_114770195090721816749<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.204444,411041792
resnetv17_stage1_conv0_fwd,Conv,ADD_TENSOR13561040734159980926,0.115900,411041792
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.205321,6422528
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.124185,9633792
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_13509677841582085069<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,0.890101,3699376128
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.205321,6422528
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.124185,9633792
resnetv17_stage1_conv2_fwd,Conv,CONV_FWD_415783732235297903394<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.730111,1644167168
resnetv17_stage1_conv2_fwd,Conv,ADD_TENSOR5461199102000010556,0.438369,1644167168
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.792835,25690112
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_415783732235297903394<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.730111,1644167168
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.792835,25690112
resnetv17_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,0.692025,12845056
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.506861,38535168
resnetv17_stage1_conv4_fwd,Conv,CONV_FWD_310510219212349283618<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.631576,1644167168
resnetv17_stage1_conv4_fwd,Conv,ADD_TENSOR13561040734159980926,0.115900,1644167168
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.205321,6422528
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.124185,9633792
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_13509677841582085069<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,0.890101,3699376128
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.205321,6422528
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.124185,9633792
resnetv17_stage1_conv6_fwd,Conv,CONV_FWD_415783732235297903394<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.730111,1644167168
resnetv17_stage1_conv6_fwd,Conv,ADD_TENSOR5461199102000010556,0.438369,1644167168
resnetv17_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.792835,25690112
resnetv17_stage1__plus1,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,0.692025,12845056
resnetv17_stage1_activation1,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.506861,38535168
resnetv17_stage1_conv7_fwd,Conv,CONV_FWD_310510219212349283618<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.631576,1644167168
resnetv17_stage1_conv7_fwd,Conv,ADD_TENSOR13561040734159980926,0.115900,1644167168
resnetv17_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.205321,6422528
resnetv17_stage1_relu4_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.124185,9633792
resnetv17_stage1_conv8_fwd,Conv,CONV_FWD_13509677841582085069<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,0.890101,3699376128
resnetv17_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.205321,6422528
resnetv17_stage1_relu5_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.124185,9633792
resnetv17_stage1_conv9_fwd,Conv,CONV_FWD_415783732235297903394<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.730111,1644167168
resnetv17_stage1_conv9_fwd,Conv,ADD_TENSOR5461199102000010556,0.438369,1644167168
resnetv17_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.792835,25690112
resnetv17_stage1__plus2,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,0.692025,12845056
resnetv17_stage1_activation2,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.506861,38535168
resnetv17_stage2_conv0_fwd,Conv,CONV_FWD_42178326143552985023<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.362790,822083584
resnetv17_stage2_conv0_fwd,Conv,ADD_TENSOR11491158417300299564,0.062326,822083584
resnetv17_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.080971,3211264
resnetv17_stage2_relu0_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.065023,4816896
resnetv17_stage2_conv1_fwd,Conv,CONV_FWD_315487037373419459827<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_N...,0.697307,3699376128
resnetv17_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.080971,3211264
resnetv17_stage2_relu1_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.065023,4816896
resnetv17_stage2_conv2_fwd,Conv,CONV_FWD_39706759815225369861<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.662600,1644167168
resnetv17_stage2_conv2_fwd,Conv,ADD_TENSOR16259491467111576010,0.223497,1644167168
resnetv17_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.401334,12845056
resnetv17_stage2_conv3_fwd,Conv,CONV_FWD_113234851450261482179<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,1.268790,3288334336
resnetv17_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.401334,12845056
resnetv17_stage2__plus0,ElementWise,OP_TENSOR_ADD_FWD663949675680151926,0.337093,6422528
resnetv17_stage2_activation0,Relu,ACTIVATION_FWD3426378230101539781<CUDNN_ACTIVATION_RELU>,0.247044,19267584
resnetv17_stage2_conv4_fwd,Conv,CONV_FWD_14436310418788833027<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.623098,1644167168
resnetv17_stage2_conv4_fwd,Conv,ADD_TENSOR11491158417300299564,0.062326,1644167168
resnetv17_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.080971,3211264
resnetv17_stage2_relu2_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.065023,4816896
resnetv17_stage2_conv5_fwd,Conv,CONV_FWD_315487037373419459827<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_N...,0.697307,3699376128
resnetv17_stage2_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.080971,3211264
resnetv17_stage2_relu3_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.065023,4816896
resnetv17_stage2_conv6_fwd,Conv,CONV_FWD_39706759815225369861<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.662600,1644167168
resnetv17_stage2_conv6_fwd,Conv,ADD_TENSOR16259491467111576010,0.223497,1644167168
resnetv17_stage2_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.401334,12845056
resnetv17_stage2__plus1,ElementWise,OP_TENSOR_ADD_FWD663949675680151926,0.337093,6422528
resnetv17_stage2_activation1,Relu,ACTIVATION_FWD3426378230101539781<CUDNN_ACTIVATION_RELU>,0.247044,19267584
