LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_29244211227929875319<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.305855,1625868288
conv_1,Conv,ADD_TENSOR13109352622567527379,0.065330,1625868288
relu_1,Relu,ACTIVATION_FWD7609905067163261305<CUDNN_ACTIVATION_RELU>,0.047686,6718464
maxpool_1,Pooling,POOLING_FWD2052180749971331511<CUDNN_POOLING_MAX_DETERMINISTIC>,0.049949,5038848
conv2_2,Conv,CONV_FWD_21480583346412556881<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_NO...,0.349345,3583180800
conv2_2,Conv,ADD_TENSOR11174327719281008967,0.045724,3583180800
relu_2,Relu,ACTIVATION_FWD6408070176310310513<CUDNN_ACTIVATION_RELU>,0.033594,4478976
maxpool_2,Pooling,POOLING_FWD14118752577306647161<CUDNN_POOLING_MAX_DETERMINISTIC>,0.038036,3115008
conv_3,Conv,CONV_FWD_211997465733301532146<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.261086,2392326144
conv_3,Conv,ADD_TENSOR12850748239303367319,0.019405,2392326144
relu_3,Relu,ACTIVATION_FWD15436549402196352744<CUDNN_ACTIVATION_RELU>,0.014664,1557504
conv4_2,Conv,CONV_FWD_17236162727259975374<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.199818,1794244608
conv4_2,Conv,ADD_TENSOR12850748239303367319,0.019405,1794244608
relu_4,Relu,ACTIVATION_FWD15436549402196352744<CUDNN_ACTIVATION_RELU>,0.014664,1557504
conv5_2,Conv,CONV_FWD_014353497674351423316<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.150381,1196163072
conv5_2,Conv,ADD_TENSOR4434626105408062023,0.014584,1196163072
relu_5,Relu,ACTIVATION_FWD747776054430575382<CUDNN_ACTIVATION_RELU>,0.007184,1038336
maxpool_3,Pooling,POOLING_FWD5826102418969747593<CUDNN_POOLING_MAX_DETERMINISTIC>,0.011340,663552
gemm_1,Gemm,GEMV_FWD832365197582049582,0.342170,75501568
relu_6,Relu,ACTIVATION_FWD11304941407100423307<CUDNN_ACTIVATION_RELU>,0.005051,12288
dropout_1,Dropout,DROPOUT_FWD5176650979312860249,0.006895,4096
dropout_1,Dropout,DROPOUT_FWD5176650979312860249,0.006895,4096
gemm_2,Gemm,GEMV_FWD12906334387647651466,0.154786,33558528
relu_7,Relu,ACTIVATION_FWD11304941407100423307<CUDNN_ACTIVATION_RELU>,0.005051,12288
dropout_2,Dropout,DROPOUT_FWD5176650979312860249,0.006895,4096
dropout_2,Dropout,DROPOUT_FWD5176650979312860249,0.006895,4096
gemm_3,Gemm,GEMV_FWD17209584415969407497,0.050471,8193000
softmax_1,Softmax,"SOFTMAX_FWD9955186565751125701<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MOD...",0.005317,3000
,,Total,2.219369,21325031072
