LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD848280194535668011<CUDNN_ACTIVATION_CLI...,7.994371,218990592
relu_2,Relu,ACTIVATION_FWD13984765847095715632<CUDNN_ACTIVATION_R...,0.637640,30720000
relu_3,Relu,ACTIVATION_FWD15936178486228311386<CUDNN_ACTIVATION_R...,0.300856,14155776
conv_4,Conv,CONV_FWD_0910805038340287770<CUDNN_CONVOLUTION_FWD_AL...,10.406567,43486543872
conv_4,Conv,ADD_TENSOR270265123705313168,0.245515,43486543872
relu_4,Relu,ACTIVATION_FWD15936178486228311386<CUDNN_ACTIVATION_R...,0.300856,14155776
conv_5,Conv,CONV_FWD_0910805038340287770<CUDNN_CONVOLUTION_FWD_AL...,10.406567,43486543872
conv_5,Conv,ADD_TENSOR270265123705313168,0.245515,43486543872
relu_5,Relu,ACTIVATION_FWD15936178486228311386<CUDNN_ACTIVATION_R...,0.300856,14155776
gemm_1,Gemm,GEMV_FWD10585986739752579921,2.448503,150999040
relu_6,Relu,ACTIVATION_FWD7493623873559399295<CUDNN_ACTIVATION_RE...,0.020066,12288
gemm_2,Gemm,GEMV_FWD1404263558367592260,0.220546,8389632
relu_7,Relu,ACTIVATION_FWD10404430894903856683<CUDNN_ACTIVATION_R...,0.014615,3072
gemm_3,Gemm,GEMV_FWD13260618114111957233,0.064212,2049000
,,Total,33.606685,174399806440
