LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_411708259162620778634<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.435134,3251736576
conv_1,Conv,ADD_TENSOR7371431092752482720,0.040797,3251736576
relu_1,Relu,ACTIVATION_FWD17899451798282461386<CUDNN_ACTIVATION_CLIPPED_RELU>,0.071307,13436928
maxpool_1,Pooling,POOLING_FWD16130756219785130035<CUDNN_POOLING_MAX>,0.055338,10077696
conv2_2,Conv,CONV_FWD_43943473473817336236<CUDNN_CONVOLUTION_FWD_ALGO_FFT_TILING>,0.457573,7166361600
conv2_2,Conv,ADD_TENSOR98673011747253076,0.029138,7166361600
relu_2,Relu,ACTIVATION_FWD10225686361533533806<CUDNN_ACTIVATION_CLIPPED_RELU>,0.049702,8957952
maxpool_2,Pooling,POOLING_FWD22193090431742973<CUDNN_POOLING_MAX_DETERMINISTIC>,0.043580,6230016
conv_3,Conv,CONV_FWD_0747349166483513847<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,0.434338,4784652288
conv_3,Conv,ADD_TENSOR14824588656373291332,0.014774,4784652288
relu_3,Relu,ACTIVATION_FWD1506903962532806111<CUDNN_ACTIVATION_CLIPPED_RELU>,0.021374,3115008
conv4_2,Conv,CONV_FWD_36396560724627237596<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,0.361921,3588489216
conv4_2,Conv,ADD_TENSOR14824588656373291332,0.014774,3588489216
relu_4,Relu,ACTIVATION_FWD1506903962532806111<CUDNN_ACTIVATION_CLIPPED_RELU>,0.021374,3115008
conv5_2,Conv,CONV_FWD_017592782900419187064<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.227004,2392326144
conv5_2,Conv,ADD_TENSOR10898068383873279,0.011865,2392326144
relu_5,Relu,ACTIVATION_FWD3509404464003554641<CUDNN_ACTIVATION_CLIPPED_RELU>,0.009147,2076672
maxpool_3,Pooling,POOLING_FWD10627162089948760333<CUDNN_POOLING_MAX_DETERMINISTIC>,0.010040,1327104
gemm_1,Gemm,GEMV_FWD11130395605165323694,0.253317,75501568
relu_6,Relu,ACTIVATION_FWD4417384752537277487<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006156,12288
dropout_1,Dropout,DROPOUT_FWD8344366376273058597,0.006932,4096
dropout_1,Dropout,DROPOUT_FWD8344366376273058597,0.006932,4096
gemm_2,Gemm,GEMV_FWD10540498111148916578,0.116104,33558528
relu_7,Relu,ACTIVATION_FWD4417384752537277487<CUDNN_ACTIVATION_CLIPPED_RELU>,0.006156,12288
dropout_2,Dropout,DROPOUT_FWD8344366376273058597,0.006932,4096
dropout_2,Dropout,DROPOUT_FWD8344366376273058597,0.006932,4096
gemm_3,Gemm,GEMV_FWD15556081825018685042,0.016148,1638600
,,Total,2.734788,42526207688
