LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD9187872916064529300<CUDNN_ACTIVATION_RE...,1.444996,214990848
relu_2,Relu,ACTIVATION_FWD10567314185974125100<CUDNN_ACTIVATION_R...,0.828623,132907008
relu_3,Relu,ACTIVATION_FWD7898970713116432947<CUDNN_ACTIVATION_RE...,0.228822,42467328
relu_4,Relu,ACTIVATION_FWD7898970713116432947<CUDNN_ACTIVATION_RE...,0.228822,42467328
relu_5,Relu,ACTIVATION_FWD5511534674333210321<CUDNN_ACTIVATION_RE...,0.147093,28311552
gemm_1,Gemm,GEMV_FWD1886467983894212307,0.253286,75501568
relu_6,Relu,ACTIVATION_FWD2121355806045417142<CUDNN_ACTIVATION_CL...,0.006173,12288
gemm_2,Gemm,GEMV_FWD195269409868034719,0.115808,33558528
relu_7,Relu,ACTIVATION_FWD2121355806045417142<CUDNN_ACTIVATION_CL...,0.006173,12288
gemm_3,Gemm,GEMV_FWD15192596775715975024,0.036364,8193000
,,Total,3.259796,578421736
