LayerName,LayerType,Theoretical Flops,flop_count_sp
conv_1,Conv,101616768,277628288
conv_1,Conv,101616768,307200
relu_1,Relu,559872,279936
maxpool_1,Pooling,629856,69888
conv2_2,Conv,223948800,904583424
conv2_2,Conv,223948800,229376
relu_2,Relu,373248,186624
maxpool_2,Pooling,389376,46592
conv_3,Conv,149520384,339803520
conv_3,Conv,149520384,98304
relu_3,Relu,129792,64896
conv4_2,Conv,112140288,509672832
conv4_2,Conv,112140288,98304
relu_4,Relu,129792,64896
conv5_2,Conv,74760192,339781888
conv5_2,Conv,74760192,65536
relu_5,Relu,86528,43264
maxpool_3,Pooling,82944,10752
gemm_1,Gemm,37752832,76992512
relu_6,Relu,8192,4096
dropout_1,Dropout,4096,34799
dropout_1,Dropout,4096,34799
gemm_2,Gemm,16781312,34230272
relu_7,Relu,8192,4096
dropout_2,Dropout,4096,34799
dropout_2,Dropout,4096,34799
gemm_3,Gemm,4097000,8523048
softmax_1,Softmax,3000,11260
