LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
resnetv17_conv0_fwd,Conv,CONV_FWD_412238578209860326011<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.383181,3776446464
resnetv17_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE6081209650119699375<CUDNN_BATCHNORM_PER_ACTIV...,0.403302,25690112
resnetv17_relu0_fwd,Relu,ACTIVATION_FWD13799100367117858965<CUDNN_ACTIVATION_RELU>,0.185050,38535168
resnetv17_pool0_fwd,Pooling,POOLING_FWD4446155870566767054<CUDNN_POOLING_MAX_DETERMINISTIC>,0.146759,28901376
resnetv17_stage1_conv0_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_017704256541810859391<CUDNN_CONVOLUTION_FWD...,0.068076,411041792
resnetv17_stage1_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.104795,6422528
resnetv17_stage1_relu0_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.050502,9633792
resnetv17_stage1_conv1_fwd,Conv,CONV_FWD_13509677841582085069<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.228199,3699376128
resnetv17_stage1_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.104795,6422528
resnetv17_stage1_relu1_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.050502,9633792
resnetv17_stage1_conv2_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_112812944315589488439<CUDNN_CONVOLUTION_FWD...,0.204549,1644167168
resnetv17_stage1_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.403364,25690112
resnetv17_stage1_conv3_fwd,Conv,CONV_FWD_415783732235297903394<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.206195,1644167168
resnetv17_stage1_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.403364,25690112
resnetv17_stage1__plus0,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,0.258008,12845056
resnetv17_stage1_activation0,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.185003,38535168
resnetv17_stage1_conv4_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_08994812599917073630<CUDNN_CONVOLUTION_FWD_...,0.176262,1644167168
resnetv17_stage1_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.104795,6422528
resnetv17_stage1_relu2_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.050502,9633792
resnetv17_stage1_conv5_fwd,Conv,CONV_FWD_13509677841582085069<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.228199,3699376128
resnetv17_stage1_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.104795,6422528
resnetv17_stage1_relu3_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.050502,9633792
resnetv17_stage1_conv6_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_112812944315589488439<CUDNN_CONVOLUTION_FWD...,0.204549,1644167168
resnetv17_stage1_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.403364,25690112
resnetv17_stage1__plus1,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,0.258008,12845056
resnetv17_stage1_activation1,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.185003,38535168
resnetv17_stage1_conv7_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_08994812599917073630<CUDNN_CONVOLUTION_FWD_...,0.176262,1644167168
resnetv17_stage1_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.104795,6422528
resnetv17_stage1_relu4_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.050502,9633792
resnetv17_stage1_conv8_fwd,Conv,CONV_FWD_13509677841582085069<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.228199,3699376128
resnetv17_stage1_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE2393644479497794067<CUDNN_BATCHNORM_PER_ACTIV...,0.104795,6422528
resnetv17_stage1_relu5_fwd,Relu,ACTIVATION_FWD14615136960277127465<CUDNN_ACTIVATION_RELU>,0.050502,9633792
resnetv17_stage1_conv9_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_112812944315589488439<CUDNN_CONVOLUTION_FWD...,0.204549,1644167168
resnetv17_stage1_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE17735923949506834559<CUDNN_BATCHNORM_PER_ACTI...,0.403364,25690112
resnetv17_stage1__plus2,ElementWise,OP_TENSOR_ADD_FWD4286303055509135862,0.258008,12845056
resnetv17_stage1_activation2,Relu,ACTIVATION_FWD2145441329574372165<CUDNN_ACTIVATION_RELU>,0.185003,38535168
resnetv17_stage2_conv0_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_48239075359691051812<CUDNN_CONVOLUTION_FWD_...,0.108364,822083584
resnetv17_stage2_batchnorm0_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.045394,3211264
resnetv17_stage2_relu0_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.028187,4816896
resnetv17_stage2_conv1_fwd,Conv,CONV_FWD_315487037373419459827<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_N...,0.205628,3699376128
resnetv17_stage2_batchnorm1_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.045394,3211264
resnetv17_stage2_relu1_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.028187,4816896
resnetv17_stage2_conv2_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_14443083763291525844<CUDNN_CONVOLUTION_FWD_...,0.174360,1644167168
resnetv17_stage2_batchnorm2_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.205359,12845056
resnetv17_stage2_conv3_fwd,Conv,CONV_FWD_113234851450261482179<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_P...,0.386663,3288334336
resnetv17_stage2_batchnorm3_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.205359,12845056
resnetv17_stage2__plus0,ElementWise,OP_TENSOR_ADD_FWD663949675680151926,0.132557,6422528
resnetv17_stage2_activation0,Relu,ACTIVATION_FWD3426378230101539781<CUDNN_ACTIVATION_RELU>,0.095121,19267584
resnetv17_stage2_conv4_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_314318105182030967064<CUDNN_CONVOLUTION_FWD...,0.184235,1644167168
resnetv17_stage2_batchnorm4_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.045394,3211264
resnetv17_stage2_relu2_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.028187,4816896
resnetv17_stage2_conv5_fwd,Conv,CONV_FWD_315487037373419459827<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_N...,0.205628,3699376128
resnetv17_stage2_batchnorm5_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.045394,3211264
resnetv17_stage2_relu3_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.028187,4816896
resnetv17_stage2_conv6_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_14443083763291525844<CUDNN_CONVOLUTION_FWD_...,0.174360,1644167168
resnetv17_stage2_batchnorm6_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.205359,12845056
resnetv17_stage2__plus1,ElementWise,OP_TENSOR_ADD_FWD663949675680151926,0.132557,6422528
resnetv17_stage2_activation1,Relu,ACTIVATION_FWD3426378230101539781<CUDNN_ACTIVATION_RELU>,0.095121,19267584
resnetv17_stage2_conv7_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_314318105182030967064<CUDNN_CONVOLUTION_FWD...,0.184235,1644167168
resnetv17_stage2_batchnorm7_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.045394,3211264
resnetv17_stage2_relu4_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.028187,4816896
resnetv17_stage2_conv8_fwd,Conv,CONV_FWD_315487037373419459827<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD_N...,0.205628,3699376128
resnetv17_stage2_batchnorm8_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE4107444952089820116<CUDNN_BATCHNORM_PER_ACTIV...,0.045394,3211264
resnetv17_stage2_relu5_fwd,Relu,ACTIVATION_FWD15196297648597543150<CUDNN_ACTIVATION_RELU>,0.028187,4816896
resnetv17_stage2_conv9_fwd,Conv,CONV_BIAS_ACTIVATION_FWD_14443083763291525844<CUDNN_CONVOLUTION_FWD_...,0.174360,1644167168
resnetv17_stage2_batchnorm9_fwd,BatchNorm,BATCHNORM_FWD_INFERENCE14152697626975217919<CUDNN_BATCHNORM_PER_ACTI...,0.205359,12845056
resnetv17_stage2__plus2,ElementWise,OP_TENSOR_ADD_FWD663949675680151926,0.132557,6422528
