LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
relu_1,Relu,ACTIVATION_FWD15770506917211922534<CUDNN_ACTIVATION_R...,2.188314,107495424
relu_2,Relu,ACTIVATION_FWD8096921656341651302<CUDNN_ACTIVATION_RE...,1.509435,66453504
relu_3,Relu,ACTIVATION_FWD13782369319766857365<CUDNN_ACTIVATION_R...,0.447740,21233664
relu_4,Relu,ACTIVATION_FWD13782369319766857365<CUDNN_ACTIVATION_R...,0.447740,21233664
relu_5,Relu,ACTIVATION_FWD13812236619334176983<CUDNN_ACTIVATION_R...,0.301887,14155776
gemm_1,Gemm,GEMV_FWD7316101744961235287,1.236476,75501568
relu_6,Relu,ACTIVATION_FWD1603106815824656010<CUDNN_ACTIVATION_RE...,0.019992,12288
gemm_2,Gemm,GEMV_FWD3960740257363593187,0.539716,33558528
relu_7,Relu,ACTIVATION_FWD1603106815824656010<CUDNN_ACTIVATION_RE...,0.019992,12288
gemm_3,Gemm,GEMV_FWD1973303644173646720,0.221257,8193000
,,Total,6.711291,347849704
