LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv1_1_3x3_s2,Conv,CONV_FWD_27998756166472368202<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,3.047536,8847360000
conv1_1_3x3_s2/bn,BatchNorm,BATCHNORM_FWD_INFERENCE3194981527649538592<CUDNN_BATCHNORM_PER_ACTIV...,6.091188,327680000
conv1_1_3x3_s2/relu,Relu,ACTIVATION_FWD14389653493373075738<CUDNN_ACTIVATION_CLIPPED_RELU>,3.835245,491520000
conv1_2_3x3,Conv,CONV_FWD_410976822751473918731<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,13.799208,188743680000
conv1_2_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE3194981527649538592<CUDNN_BATCHNORM_PER_ACTIV...,6.091188,327680000
conv1_2_3x3/relu,Relu,ACTIVATION_FWD14389653493373075738<CUDNN_ACTIVATION_CLIPPED_RELU>,3.835245,491520000
conv1_3_3x3,Conv,CONV_FWD_44549477136522973718<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,26.783220,377487360000
conv1_3_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE13944591576178070823<CUDNN_BATCHNORM_PER_ACTI...,12.170728,655360000
conv1_3_3x3/relu,Relu,ACTIVATION_FWD3053914924112004637<CUDNN_ACTIVATION_CLIPPED_RELU>,8.193272,983040000
pool1_3x3_s2,Pooling,POOLING_FWD1795624960559859207<CUDNN_POOLING_MAX>,6.389451,729925632
conv2_1_1x1_reduce,Conv,CONV_FWD_21929875395296475251<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,1.821338,10381164544
conv2_1_1x1_reduce/bn,BatchNorm,BATCHNORM_FWD_INFERENCE3584718522817445315<CUDNN_BATCHNORM_PER_ACTIV...,1.511789,81102848
conv2_1_1x1_reduce/relu,Relu,ACTIVATION_FWD15734435640248479481<CUDNN_ACTIVATION_RELU>,0.817834,121654272
conv2_1_3x3,Conv,CONV_FWD_213343070412253135442<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,4.182338,46715240448
conv2_1_3x3/bn,BatchNorm,BATCHNORM_FWD_INFERENCE3584718522817445315<CUDNN_BATCHNORM_PER_ACTIV...,1.511789,81102848
conv2_1_3x3/relu,Relu,ACTIVATION_FWD15734435640248479481<CUDNN_ACTIVATION_RELU>,0.817834,121654272
conv2_1_1x1_increase,Conv,CONV_FWD_01305998166180682774<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PR...,3.775461,20762329088
conv2_1_1x1_increase/bn,BatchNorm,BATCHNORM_FWD_INFERENCE14775998385941453247<CUDNN_BATCHNORM_PER_ACTI...,6.035239,324411392
conv2_1_1x1_proj,Conv,CONV_FWD_2630136026302149654<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_PRE...,5.927550,41524658176
