LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
conv_1,Conv,CONV_FWD_112718711876500690091<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.074270,406467072
conv_1,Conv,ADD_TENSOR10553138141124997578,0.011646,406467072
relu_1,Relu,ACTIVATION_FWD902479011617325688<CUDNN_ACTIVATION_RELU>,0.009557,1679616
maxpool_1,Pooling,POOLING_FWD7200271266487241381<CUDNN_POOLING_MAX_DETERMINISTIC>,0.010202,1259712
conv2_2,Conv,CONV_FWD_210096485769234822766<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_G...,0.170551,895795200
conv2_2,Conv,ADD_TENSOR5752098482467034152,0.010308,895795200
relu_2,Relu,ACTIVATION_FWD9012016737246248572<CUDNN_ACTIVATION_RELU>,0.008935,1119744
maxpool_2,Pooling,POOLING_FWD13673481874362278226<CUDNN_POOLING_MAX_DETERMINISTIC>,0.008814,778752
conv_3,Conv,CONV_FWD_415371015762202434184<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.084266,598081536
conv_3,Conv,ADD_TENSOR11953721898031421473,0.008824,598081536
relu_3,Relu,ACTIVATION_FWD6974270367892786053<CUDNN_ACTIVATION_RELU>,0.008190,389376
conv4_2,Conv,CONV_FWD_415572213778166138271<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.078839,448561152
conv4_2,Conv,ADD_TENSOR11953721898031421473,0.008824,448561152
relu_4,Relu,ACTIVATION_FWD6974270367892786053<CUDNN_ACTIVATION_RELU>,0.008190,389376
conv5_2,Conv,CONV_FWD_43110247540086532615<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.073411,299040768
conv5_2,Conv,ADD_TENSOR18394049099695464967,0.008498,299040768
relu_5,Relu,ACTIVATION_FWD17432660807868853019<CUDNN_ACTIVATION_CLIPPED_RELU>,0.007890,259584
maxpool_3,Pooling,POOLING_FWD3383448739713194914<CUDNN_POOLING_MAX_DETERMINISTIC>,0.007569,165888
gemm_1,Gemm,GEMV_FWD6934874432368006581,0.179158,75501568
relu_6,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_RELU>,0.007684,12288
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.008416,4096
dropout_1,Dropout,DROPOUT_FWD1118422203442273626,0.008416,4096
gemm_2,Gemm,GEMV_FWD14749961015086304009,0.084620,33558528
relu_7,Relu,ACTIVATION_FWD9632149703998469964<CUDNN_ACTIVATION_RELU>,0.007684,12288
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.008416,4096
dropout_2,Dropout,DROPOUT_FWD1118422203442273626,0.008416,4096
gemm_3,Gemm,GEMV_FWD1899783961886106634,0.037455,8193000
softmax_1,Softmax,"SOFTMAX_FWD520896048550294790<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE...",0.006853,3000
,,Total,0.955902,5419230560
