LayerName,LayerType,BenchmarkName,RealTime(ms),Theoretical Flops
Minus340,ElementWise,OP_TENSOR_ADD_FWD12271790747696839756,0.017571,32768
Block352,ElementWise,OP_TENSOR_MUL_FWD4347143950544172774,0.017809,65536
Convolution362,Conv,CONV_FWD7423649585801486406<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_...,0.192083,37748736
Plus364,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.219107,2097152
ReLU366,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_RELU>,0.126597,6291456
Convolution380,Conv,CONV_FWD8084170330308755110<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.530415,2415919104
Plus382,ElementWise,OP_TENSOR_ADD_FWD1227435783756545791,0.219107,2097152
ReLU384,Relu,ACTIVATION_FWD6960782384555627412<CUDNN_ACTIVATION_RELU>,0.126597,6291456
Pooling398,Pooling,POOLING_FWD9814329755636642278<CUDNN_POOLING_MAX>,0.097940,2097152
Dropout408,Dropout,DROPOUT_FWD11653099213578239356,0.071776,524288
Convolution418,Conv,CONV_FWD3728287764155865335<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,0.780726,1207959552
Plus420,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.132213,1048576
ReLU422,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_CLIPPED_RELU...,0.072354,3145728
Convolution436,Conv,CONV_FWD7788832716920336822<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.440522,2415919104
Plus438,ElementWise,OP_TENSOR_ADD_FWD16478222387832150570,0.132213,1048576
ReLU440,Relu,ACTIVATION_FWD10754445352930817857<CUDNN_ACTIVATION_CLIPPED_RELU...,0.072354,3145728
Pooling454,Pooling,POOLING_FWD3702873218521059307<CUDNN_POOLING_MAX>,0.057497,1048576
Dropout464,Dropout,DROPOUT_FWD12723715171359504788,0.049320,262144
Convolution474,Conv,CONV_FWD16465623071020680618<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.754647,1207959552
Plus476,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.066390,524288
ReLU478,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_RELU>,0.041112,1572864
Convolution492,Conv,CONV_FWD3623861622124340554<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.424034,2415919104
Plus494,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.066390,524288
ReLU496,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_RELU>,0.041112,1572864
Convolution510,Conv,CONV_FWD3623861622124340554<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD>,1.424034,2415919104
Plus512,ElementWise,OP_TENSOR_ADD_FWD500144183205325294,0.066390,524288
ReLU514,Relu,ACTIVATION_FWD8602383921478042757<CUDNN_ACTIVATION_RELU>,0.041112,1572864
Pooling528,Pooling,POOLING_FWD15582259120037504623<CUDNN_POOLING_MAX_DETERMINISTIC>,0.038263,524288
Dropout538,Dropout,DROPOUT_FWD10532454241010462916,0.042529,131072
Convolution548,Conv,CONV_FWD10097884654587225186<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.629038,603979776
Plus550,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.032668,131072
ReLU552,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_RELU>,0.016153,393216
Convolution566,Conv,CONV_FWD10097884654587225186<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.629038,603979776
Plus568,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.032668,131072
ReLU570,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_RELU>,0.016153,393216
Convolution584,Conv,CONV_FWD10097884654587225186<CUDNN_CONVOLUTION_FWD_ALGO_WINOGRAD...,0.629038,603979776
Plus586,ElementWise,OP_TENSOR_ADD_FWD4075699674166914429,0.032668,131072
ReLU588,Relu,ACTIVATION_FWD5268890124454821910<CUDNN_ACTIVATION_RELU>,0.016153,393216
Pooling602,Pooling,POOLING_FWD7374398623897052999<CUDNN_POOLING_MAX>,0.017588,131072
Dropout612,Dropout,DROPOUT_FWD2505870008598185022,0.034353,32768
Times622,Gemm,GEMV_FWD18430978388806864932,0.196868,8389632
Plus624,ElementWise,OP_TENSOR_ADD_FWD2236676450438229036,0.041361,1024
ReLU636,Relu,ACTIVATION_FWD7970057994820862279<CUDNN_ACTIVATION_RELU>,0.014629,3072
Dropout646,Dropout,DROPOUT_FWD3193681065201381972,0.017282,1024
Times656,Gemm,GEMV_FWD6905426876734094563,0.057441,2098176
Plus658,ElementWise,OP_TENSOR_ADD_FWD2236676450438229036,0.041361,1024
ReLU670,Relu,ACTIVATION_FWD7970057994820862279<CUDNN_ACTIVATION_RELU>,0.014629,3072
Dropout680,Dropout,DROPOUT_FWD3193681065201381972,0.017282,1024
Times690,Gemm,GEMV_FWD13910513919972276568,0.021793,16392
,,Total,11.870378,13977677832
